x	y	extra
465.6943020476586	257.51807594624546	[]
465.3015932769889	256.84675329501914	[]
465.56736751295335	257.3377725494456	[]
465.46511329424897	257.1027459017308	[]
465.3823100898472	256.90684962264146	[]
465.4503252121674	256.89278132276024	[]
465.3025141641963	257.01251670506196	[]
465.36840878131346	256.86584164071314	[]
465.3237428815473	256.6412072328109	[]
465.2582187862318	256.2446318297101	[]
466.7920437510857	243.70836918434875	[]
464.39163043237033	250.8460657362413	[]
465.0995141694838	255.73057118999324	[]
464.8371321869549	254.95234193217235	[]
465.0358815467676	255.80446940260833	[]
0.0	0.0	0
0.0	0.0	0
466.40337104213893	246.88168980136027	[]
465.0586889554531	255.44525507750313	[]
465.2139907450816	255.33295265383006	[]
465.30466083992775	254.9456992961266	[]
465.49505321652435	254.70417701184658	[]
0.0	0.0	0
465.58099919778465	254.4280135093491	[]
465.85962642355474	255.00176580767152	[]
465.2708080311466	254.8725993649641	[]
465.3145314784154	255.42960484199634	[]
465.20723856306694	251.2723834269827	[]
464.3988289810401	255.1228783402182	[]
464.500895189589	254.97461694939886	[]
464.1647348937889	254.67493897542158	[]
464.88652950278606	242.94271610087154	[]
464.9484025549915	242.9076524139876	[]
463.8663907408542	253.73739224707055	[]
463.4405621783181	253.23947301925023	[]
463.1166526713141	252.81532156070824	[]
462.533348320367	252.32199783163773	[]
462.13816708101416	252.012873327149	[]
461.94741079218636	251.91227904814622	[]
461.6124739182888	251.4778428769151	[]
461.4826854385965	251.49133553606237	[]
461.5458454525418	251.4981572062777	[]
461.2517737962694	251.02397829999032	[]
461.22915408229136	250.42016369420153	[]
461.36038339894344	250.19035179993728	[]
461.4056654037862	250.03825586628327	[]
461.62614507377975	250.39875195989404	[]
461.56130844823076	250.2674466103467	[]
461.7701829447998	250.32410381663112	[]
462.0354269606321	250.5502193034194	[]
461.88180247748704	250.12548817615888	[]
462.8538754147104	239.44523691705788	[]
461.96857206355986	242.33471143936154	[]
462.38988377676924	249.74259970358816	[]
462.9980626031768	249.96202403064214	[]
463.1028506287446	249.9015865607011	[]
0.0	0.0	0
461.7274506707403	247.83133016484297	[]
460.15855063018233	244.40446392087182	[]
460.3371849621839	242.88528935844795	[]
460.71460052550816	242.65807003068662	[]
460.9627346879668	242.5630190116139	[]
460.88430035752975	242.8121202684483	[]
460.89403627567685	242.959023815296	[]
460.7591871461801	243.12523109956143	[]
460.6826422568102	243.2425557461544	[]
460.74682451220696	243.72275097850402	[]
460.5503201058008	243.51573418825245	[]
460.5102812186563	243.54249604917513	[]
460.6133021629172	243.57923854482183	[]
460.79520732309805	243.8844455870485	[]
460.90386276917775	244.34641522875816	[]
460.95501147536146	244.80115586407	[]
461.3432692592592	245.26857790123455	[]
461.5933700713012	245.49184006535947	[]
461.9365049577541	245.65359408285636	[]
462.2500224657192	245.4447120693094	[]
462.70992140225377	245.05924248751347	[]
462.9599538512056	244.30409081415752	[]
463.0083263739604	243.12809723398908	[]
463.0836587509462	242.00157447136007	[]
462.9001625553013	240.7418610043224	[]
462.68746377101024	239.6711656609789	[]
462.3435146395431	238.6832974477414	[]
461.8670339918325	237.72438468095964	[]
461.3019562082494	237.12310638118836	[]
460.61465205730167	236.4571366764486	[]
460.01344940681236	235.9934962645143	[]
459.4162459536115	235.76485352901847	[]
458.84169980767246	235.2384394970688	[]
458.24766294542445	234.7415502868049	[]
457.84979817937585	234.3476541413515	[]
457.22462068860256	233.8347660660148	[]
456.4879154211713	231.86807149697958	[]
455.9703528857135	229.03532486013523	[]
455.57988351485795	227.93676742901746	[]
455.2603756287866	226.9428475744165	[]
454.790485434138	225.86627429479034	[]
454.5395042821512	224.48975501844038	[]
454.26426368353617	223.05227350629937	[]
454.2591351642663	221.5887138377987	[]
454.3379408490616	220.43981211862126	[]
454.65420372294363	219.16594614718613	[]
454.94601862115996	217.86138938560592	[]
455.24357873668686	216.83779469605113	[]
455.85892818908263	215.79712223168278	[]
456.26379996190155	214.86315946717463	[]
456.49778999777993	213.89655789654788	[]
456.621712186934	212.72186541161722	[]
457.93675965066865	208.40346624091026	[]
350.0732542101299	223.8596723360321	[(459.6438025925925, 204.98646925925925)]
460.14590638597116	203.60196240638535	[]
460.3417046358122	203.28544249131483	[]
460.4952024499275	202.8431803204047	[]
460.4991188932454	202.3541655278322	[]
460.54233049453154	202.13416359010935	[]
460.4205872394197	202.0000997263347	[]
351.3172431544424	220.68948525342873	[(460.1638827028238, 201.44286073957866)]
459.9991404608557	201.02588628556865	[]
459.76329415497173	200.52801767662226	[]
459.4837842187031	200.05093675904266	[]
459.3658343080625	199.78355392298434	[]
459.2302857793764	199.81104117505996	[]
459.14903527946	199.54757093886528	[]
459.23102597865505	199.26625096891206	[]
459.27643129921614	198.92976343124002	[]
459.3929658841206	198.28991864286573	[]
459.9286375932982	194.9053205909393	[]
460.45674137926653	190.668484812841	[]
460.7354410124967	189.24717271359347	[]
461.1542765782074	188.82675627997347	[]
461.38935724197876	188.50814971866603	[]
461.8065310509654	188.0562619784742	[]
462.2804332804232	187.6609075584879	[]
462.60579093956284	187.46110722489266	[]
463.1987070684039	187.1995054333525	[]
463.6316463519712	186.82113725756264	[]
464.04422147125763	186.25408970247827	[]
464.2920627670527	185.7266831016731	[]
464.5914984006065	185.43668925015325	[]
464.99487829711904	184.72757503946215	[]
465.374745540149	184.45846132311297	[]
465.5192665688295	183.92311461045122	[]
465.74115906322794	183.3088330468878	[]
466.043506857829	182.733632873688	[]
466.32586904686303	181.90982248139696	[]
466.597445386353	181.26005916616836	[]
466.8033629980335	180.68530813685297	[]
467.11243881072016	180.643226080402	[]
467.4445101504061	180.73870447508273	[]
467.6754653049289	181.04990139515454	[]
467.99588566643195	181.3393789434329	[]
468.16168624424495	181.53427084618744	[]
468.288049275026	181.5119976256767	[]
468.2994433130945	181.4039768083384	[]
468.42999886301504	181.4922984816577	[]
468.6466267947162	181.77171103787572	[]
468.85329864967326	182.27566079042685	[]
469.03694200999246	182.71609939301868	[]
469.1684862387958	183.193887896161	[]
469.3021070076407	183.68791602174426	[]
469.34204045685277	184.03933318104907	[]
469.5898369497781	184.33720394493548	[]
469.628506149169	184.68319470476962	[]
469.6679280194805	185.02523997835496	[]
469.8432191223783	185.30493771329668	[]
469.9753876332723	185.61313063943643	[]
470.28797804116726	185.85968228654613	[]
470.57063608518024	186.0056954934804	[]
470.67354775681116	186.19052037500427	[]
470.89718872616237	186.32621339098694	[]
471.2563832563732	186.54312825740396	[]
471.41076710859875	186.639270020555	[]
471.8306471286278	186.84077936287136	[]
471.8474178679238	186.81730009083685	[]
472.0869875977286	186.9798583432014	[]
472.1848676284118	187.00639157666564	[]
472.3403828872625	187.02837731137828	[]
472.566049058939	187.29488044633777	[]
472.7822345688137	187.81306878211896	[]
473.2864029061543	188.11943714381223	[]
473.7020849238722	188.34637357198497	[]
474.4131940796019	188.43405406538736	[]
474.8394962989196	188.31416897545967	[]
475.46643969984194	188.26501789889414	[]
476.1365365558814	188.20434727960608	[]
476.99758087955905	188.38152693133202	[]
477.7865420604264	188.27624541460915	[]
478.8097497330973	188.5370224603701	[]
480.25497971723695	188.86316163675548	[]
484.02036768645354	190.33779538812786	[]
486.3345331241604	191.77920785070043	[]
487.24518279314134	191.8983825958803	[]
488.4792246034667	191.8345705154165	[]
489.68215092768384	191.87795242494403	[]
490.95431484197405	191.8943350817375	[]
491.89456461126844	192.18170656909032	[]
492.8272669444444	192.5386384722222	[]
