x	y	extra
333.02364582645845	305.2258003229471	[]
332.91878170286645	304.43284175597466	[]
332.61637549607906	304.19500943175353	[]
332.641454013869	304.15834843225235	[]
332.3692808333333	304.2057391666666	[]
332.35783193385595	304.25293871947366	[]
332.0771740411962	304.30983804858806	[]
331.9481097598042	304.14159080229865	[]
332.00749887845654	303.8944056363311	[]
331.7431948218085	303.4658165094191	[]
331.7322816480759	303.12436604533434	[]
331.6561240485911	302.67535524685985	[]
331.62648091535976	302.5205305205205	[]
331.1825617897017	302.5143475118834	[]
330.96720099134967	302.63167744098575	[]
330.65925059585373	302.61573293683415	[]
330.4422586018082	302.48496700422214	[]
330.67393397315664	302.38055954423237	[]
330.0717502803491	302.3890384757118	[]
329.89513984867506	302.34570043370996	[]
330.02852208046346	302.13983726577015	[]
329.9092617363386	301.8486973716856	[]
329.53572740459344	301.58305951532617	[]
329.2950424824463	301.3908055465144	[]
329.3648132316914	300.8120810624619	[]
329.4414491040193	300.30123591943953	[]
328.9948365038855	299.9937541825226	[]
328.78188773873046	299.6478689092802	[]
328.40750429781684	299.2940905908547	[]
328.0711379736595	299.0094515734502	[]
327.8322889625861	299.06501141307416	[]
328.05584134549673	298.9137701272215	[]
327.38391234349496	299.26688990948054	[]
327.40033053364516	299.2898763721222	[]
327.3962323374827	299.1046305048409	[]
327.1969678783151	298.90345947131215	[]
327.2196067030365	298.0183671136505	[]
326.844920102186	297.89469805242953	[]
326.7506992392521	297.88180546825186	[]
326.6327142393583	297.9947783593834	[]
326.3062135597027	297.5927825937445	[]
326.04392036050666	297.2579075857962	[]
325.88244278179934	296.8320937642192	[]
325.75852353101124	296.2861250675471	[]
326.28308146477445	294.68663358506495	[]
325.4815273839989	294.5026380642798	[]
325.2171748403899	294.17831512870384	[]
325.38995278831675	293.5975494674581	[]
325.1201240856939	293.26270959594643	[]
324.93055476387804	292.76164342830003	[]
324.9234966619223	291.7981381404325	[]
324.91977104521226	291.20978307890664	[]
324.6965764957487	290.95554968975136	[]
393.0258959357696	281.1352536323366	[(325.17196885987977, 290.28223892210315)]
325.0764737904468	289.58728101523707	[]
324.91553540913003	289.11680586563307	[]
325.2322827951688	288.55102039199363	[]
325.05468690917303	288.16556849633116	[]
325.1155023507864	287.83330023917256	[]
324.9299510029498	287.46146670657635	[]
325.48948345853694	286.75277562901977	[]
325.1648773257024	286.46031610475194	[]
324.9982538810229	285.1092406003731	[]
326.1883582290632	278.956404129979	[]
325.5965651894178	274.8399454974409	[]
336.5861646618192	274.50409997955006	[]
328.45305409926794	272.4140878432422	[]
328.5974285480449	271.61207761796294	[]
327.74781475502664	270.89965921934106	[]
326.53841996168575	270.6774764750957	[]
328.2898261536872	269.1308828683238	[]
326.8142353588746	268.7314901478707	[]
328.1095034789202	267.37510624133824	[]
326.16929395061726	267.2507260493827	[]
326.68882359261437	266.2938373423689	[]
327.66655668490387	264.9251653763827	[]
327.67140616813856	264.07358270402005	[]
326.92428767354596	263.81994746091306	[]
327.14736132433774	262.53261869565216	[]
327.10277749515245	261.5322051096673	[]
328.614973592826	260.53529319405754	[]
330.4020674671869	259.8198279023294	[]
328.3243411395213	258.7174117197468	[]
328.5201882368727	257.92517076763374	[]
328.77550571479276	257.19728166692016	[]
329.39624355014365	256.15623951646245	[]
328.37595539752806	255.76362767728673	[]
329.2884450559929	254.7276582968275	[]
329.924877642479	254.07272877919652	[]
331.4359445628207	253.47526783671185	[]
328.3857834497425	252.8895331699127	[]
330.24245621706547	251.5142043974431	[]
330.5182611356262	250.48730180186024	[]
330.29427330994633	249.55150263997797	[]
329.7876400871478	248.9408679406041	[]
330.5760806548908	248.29321113314447	[]
330.39054672316377	247.40707214689263	[]
331.0253646549341	246.778699680458	[]
330.4522900034611	245.61418322834646	[]
333.99008682458384	246.01964294921038	[]
330.7993427531186	244.30032911807368	[]
331.8326592218231	243.9596474208996	[]
330.68151634514027	243.15073284544943	[]
330.7731799375425	242.80381664831424	[]
396.5908817587703	256.77016135515663	[(339.08727116172844, 238.58254820216658)]
329.9087967906577	241.64052806156585	[]
330.68986507246376	241.26667666666668	[]
0.0	0.0	0
331.3368209105204	240.84382142459702	[]
330.97827487382574	240.2184357383189	[]
396.9409066583422	255.0264102854085	[(330.86067970232006, 239.9428901536412)]
331.6556032825548	239.6411956474259	[]
331.0601736806016	239.06759934496162	[]
333.70616854639	237.89262939218526	[]
339.5242529650782	234.53862026830862	[]
336.59586320614727	236.02567905140432	[]
336.8476064078182	235.7233657844691	[]
336.6281508714247	235.54972932638333	[]
337.9245797310213	234.45540087474572	[]
337.2594431768075	235.58325174909248	[]
350.830678779106	233.3575403663162	[]
338.062676798458	235.86775735593557	[]
342.66157991476615	232.97864395530982	[]
337.50169350168346	235.74566656565656	[]
336.0925093003078	235.4790192359362	[]
337.1284793877551	235.9707582993197	[]
336.85459682387005	236.464070399214	[]
337.56291426360525	236.83901572318734	[]
342.8024256264447	234.0490738002774	[]
338.1145066756874	237.6703183759313	[]
351.3599549913144	235.5128936132021	[]
354.25972647561554	236.8153800061046	[]
337.2899520529801	238.70210023178808	[]
347.49839696986385	235.82312747580454	[]
351.6497730102534	236.95113691042752	[]
338.06886279395235	240.03399372322673	[]
337.86880249059595	240.64745452496805	[]
337.5319301035435	240.81212739601915	[]
339.2910751186269	241.5459632222783	[]
339.83139157675237	241.94926432889602	[]
339.9956098925164	242.13308805992207	[]
340.77748918118175	242.60815173385092	[]
346.6645353993745	238.35824965288927	[]
341.07029314546423	242.6716417767042	[]
339.9246776514032	242.10333700288385	[]
340.3248008503653	242.4444662109499	[]
340.43133418132413	242.74307449306446	[]
342.37260962832954	243.20659682634732	[]
342.15336868187575	242.63090705675253	[]
342.4694057952795	242.6155323666774	[]
343.47847382346697	242.33850635759245	[]
344.6246481360957	242.65614337518747	[]
345.0749809210109	242.74140085686085	[]
345.58598799077026	243.0979155733049	[]
347.69897922183503	244.45754484320557	[]
348.8621618389768	246.41346864984334	[]
354.1453977005347	248.99562794414734	[]
354.6535915761925	249.25311303574097	[]
355.2121071702746	249.4422254218142	[]
355.92231001147707	249.77697162821835	[]
357.4850865831554	250.31177272328952	[]
357.74824997551264	250.50632313131314	[]
358.52998185921894	250.8874854250029	[]
359.5086499753143	251.21570081231198	[]
360.3228443406167	251.5516139051604	[]
362.54388901534384	252.04250917209404	[]
361.6417951965048	252.274920857725	[]
374.0292628260269	248.8307516597739	[]
362.8736921006213	253.0266285608338	[]
363.60878087105203	253.36721981693822	[]
364.51558386983396	253.61549095180382	[]
365.241170692514	253.82619060635616	[]
366.08326175395655	253.92858725566975	[]
366.7794737716917	254.25833716506293	[]
367.59597968939954	254.73279374552416	[]
368.3831163351243	255.2007263980174	[]
369.8056823555115	255.533318599225	[]
370.28689835503855	256.54112349938885	[]
370.5057526088475	257.1270461151141	[]
371.9729055581206	257.76209798255735	[]
372.72784792009037	258.1661332120342	[]
373.3808738697114	258.7977618144804	[]
375.7859216022099	258.75160049054074	[]
376.7086011520814	259.426789475523	[]
378.7286510488635	260.71493646741703	[]
379.5421797287838	261.31173353455813	[]
380.2612905421793	261.9138676779026	[]
382.0490034081596	262.54379229110987	[]
387.0746640248048	266.85347932911935	[]
392.7566577079383	272.2338343157843	[]
0.0	0.0	0
0.0	0.0	0
396.00189632414987	276.1712683767684	[]
396.95727626795474	276.89174439656495	[]
0.0	0.0	0
395.59002406469756	264.8206851054852	[]
