x	y	extra
0	0	0
0	0	0
346.65428103403974	261.4196631791907	[]
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
339.2421376439752	254.16643838813735	[]
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
346.3403408503434	263.1921998681113	[]
0	0	0
0	0	0
0	0	0
0	0	0
346.283966342949	260.99932979099026	[]
333.12314370239886	270.44137889783593	[]
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
346.09843380548483	248.13805071246819	[]
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
336.77277060764794	256.00570233455556	[]
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
294.65918483312026	245.99479057094163	[]
287.6662197326936	56.34857446576803	[]
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
238.92385591631927	81.8422980963409	[]
291.0647571708924	253.75185071049992	[]
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
293.22036360068995	263.7320784202961	[]
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
293.82876918051795	252.56063363097536	[]
289.2459352157239	262.9045322115691	[]
0	0	0
0	0	0
0	0	0
0	0	0
267.1841334840132	251.4619725137817	[]
0	0	0
